Fisier,Cluster
1-win-cazinos-club.org.ru.html,0
1win-official-site-casinoz.org.ru.html,0
1win-sloty.pp.ru.html,0
1wincasinoz-vhod.org.ru.html,0
cazinos-official-1win.net.ru.html,0
fontan-zercalo.net.ru.html,0
fontan-casino.pp.ru.html,0
cazinoz1-win.pp.ru.html,0
kasinos-1-win.net.ru.html,0
fontan-mobile.net.ru.html,0
vulcan-24kasinos.pp.ru.html,0
mirror-wulkan-russia.org.ru.html,0
lmeloyalty.com.html,1
nbesloyalty.com.html,1
altnloyalty.com.html,1
ascendohio.com.html,1
zenlfs.com.html,1
wowlklnd.com.html,1
visittlfl.com.html,1
novltyclub.com.html,1
tlflhasit1.com.html,1
shoalsslty.com.html,1
tryhrbyloyalty.com.html,1
assuredrxservices.com.html,2
lbgenetics.com.html,2
ecoled.co.in.html,2
coronadynamics.com.html,2
morriskamlay.com.html,2
rmhaddock.com.html,2
your-pc-guru.com.html,2
